title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Lena's Secret War","A Spy Thriller",null,null,null,null,null,null,null,null,"9781949336221",null,null,null,null,"English",null,null,null,null,"/books/OL34951079M",30,"22",149,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Clarence the Bogleon",null,null,null,null,null,null,null,null,null,"9781628904673",null,null,null,null,"English",null,null,null,null,"/books/OL36717010M",30,"23",33,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Industriya Yuzhnogo Urala",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL19925270M",10,"24",163,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Werner Elerts Apologetisches Frühwerk",null,null,"390",null,null,null,null,null,null,"9783110204070",null,null,null,null,"German",null,null,null,null,"/books/OL36700499M",30,"25",190,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Nach geltendem Verfassungsrecht","Festschrift für Udo Steiner zum 70. Geburtstag",null,"1002 p. :",null,null,null,null,null,null,"9783415042841",null,"2010359931",null,null,"German",null,null,null,null,"/books/OL24387192M",30,"26",201,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"MANUEL POUR LA DIRECTION DU PERSONNEL",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL43524050M",100,null,220,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Merry Christmas Activity Book for Kids 7+ : Christmas Countdown Activity Book for Creative Children","Large Print Word Search, Coloring, Mazes, Sudokus, Puzzle Games Book with Cheerful Santa Claus, Reindeer, Elves, Animals, Snowman",null,"93",null,null,null,null,"0.300",null,"9798558427974",null,null,null,null,"English",null,null,null,null,"/books/OL42207551M",130,"4",34,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Coden for Periodical Titles Volumes I and 2 (an Aid to the Storage and Retreival of Information and to Communication Involving Journal references)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL45959349M",110,"27",216,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Wu you xiang xiao xi",null,null,"15, 365 p., [1] leaf of plates",null,null,null,null,null,null,null,null,"2007335617",null,null,"Chinese",null,null,null,null,"/books/OL31767806M",110,"28",206,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Council Tax and Non-Domestic Rating (Demand Notices) (England) (Amendment) (Rural Rate Relief) Regulations 1998 (Statutory Instruments: 1998: 47)",null,null,null,null,null,null,null,null,"0110653726","9780110653723",null,null,null,null,null,null,null,null,null,"/books/OL10018621M",150,"29",148,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
