title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Islam in the West","critical concepts in Islamic studies","In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ('Regions and History') includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ('Social and Economic Issues') assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ('Politics and Law') gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, 'Islam in the West' is an essential new addition to Routledge's 'Critical Concepts in Islamic Studies' series.","v. cm.",null,null,null,null,null,null,"9780415481243",null,"2010010653",null,null,"English",null,null,null,null,"/books/OL24099643M",155,"36",142,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Islam in the West","critical concepts in Islamic studies","In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ('Regions and History') includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ('Social and Economic Issues') assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ('Politics and Law') gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, 'Islam in the West' is an essential new addition to Routledge's 'Critical Concepts in Islamic Studies' series.","v. cm.",null,null,null,null,null,null,"9780415548106",null,"2010010653",null,null,"English",null,null,null,null,"/books/OL24099643M",155,"36",142,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Islam in the West","critical concepts in Islamic studies","In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ('Regions and History') includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ('Social and Economic Issues') assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ('Politics and Law') gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, 'Islam in the West' is an essential new addition to Routledge's 'Critical Concepts in Islamic Studies' series.","v. cm.",null,null,null,null,null,null,"9780415548113",null,"2010010653",null,null,"English",null,null,null,null,"/books/OL24099643M",155,"36",142,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Islam in the West","critical concepts in Islamic studies","In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ('Regions and History') includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ('Social and Economic Issues') assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ('Politics and Law') gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, 'Islam in the West' is an essential new addition to Routledge's 'Critical Concepts in Islamic Studies' series.","v. cm.",null,null,null,null,null,null,"9780415548120",null,"2010010653",null,null,"English",null,null,null,null,"/books/OL24099643M",155,"36",142,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Islam in the West","critical concepts in Islamic studies","In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ('Regions and History') includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ('Social and Economic Issues') assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ('Politics and Law') gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, 'Islam in the West' is an essential new addition to Routledge's 'Critical Concepts in Islamic Studies' series.","v. cm.",null,null,null,null,null,null,"9780415548137",null,"2010010653",null,null,"English",null,null,null,null,"/books/OL24099643M",155,"36",142,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Bride on the loose : Married after breakfast",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"7914134","/books/OL26247371M",115,null,176,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Official MTO Bus Handbook",null,null,null,null,null,null,null,null,"1486846947","9781486846948",null,null,null,null,null,null,null,null,null,"/books/OL53538465M",140,null,53,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"My Parish Is Revolting",null,null,null,null,null,null,null,null,null,"9780340199817",null,null,null,null,"English",null,null,null,null,"/books/OL53232389M",130,"55",61,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"SHIP THAT CHANGED THE WORLD","The Escape of the Goeben to the Dardanelles in 1914",null,null,null,null,null,null,"13.6 ounces","1841580627","9781841580623",null,null,null,null,"English",null,null,null,"886579","/books/OL8920593M",165,"56",172,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Plant Tissue Culture Concepts and Laboratory Exercises, Second Edition",null,null,null,null,null,null,null,"1.8 pounds","0849320291","9780849320293",null,null,null,null,"English",null,null,null,"1595833","/books/OL8259457M",165,"57",151,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Oil","a guide through the total energy jungle",null,"ii, 182 p. ;",null,null,null,null,null,"0876450907",null,null,"84250144",null,null,"English",null,null,null,"10007360","/books/OL2994377M",45,"58",145,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Collecting Vintage Football Cards - a Complete Guide with Checklists",null,null,null,null,null,null,null,"0.405",null,"9781365212574",null,null,null,null,"English",null,null,null,null,"/books/OL40039845M",130,"59",181,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"9 Lieder, Mutter Courage und ihre Kinder",null,null,"1 vocal score (32 p.)",null,null,null,null,null,null,null,null,null,null,null,"German",null,null,null,null,"/books/OL50372670M",110,"60",5,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Ship That Changed the World","The Escape of the Goeben to the Dardanelles in 1914",null,null,null,null,null,null,null,"034035027X","9780340350270",null,"gb85023646",null,null,null,null,null,null,null,"/books/OL9784815M",150,"61",172,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Advaitic sādhanā","or The yoga of direct liberation : containing English translation of Māṇḍūkyopaniṣad and Ātmabodha",null,"92 p. ;",null,null,null,null,null,null,null,null,"76901645",null,null,"English",null,null,null,null,"/books/OL4525302M",10,"62",86,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Applied Economics",null,null,null,null,null,null,null,"0.109",null,"9781508629962",null,null,null,null,"English",null,null,null,null,"/books/OL56013651M",30,"10",84,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Santa Rogelia",null,null,"xv, [1], 188 p. incl. front. (facsim.) illus. (map)",null,null,null,null,null,null,null,null,null,null,null,"Spanish",null,null,null,null,"/books/OL22349325M",10,"63",222,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Typographia","or, the Printers' instructor",null,"2 v.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL52294970M",10,"64",173,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"provincia perdida",null,null,"168 p. :",null,null,null,null,null,null,null,null,null,null,null,"Spanish",null,null,null,null,"/books/OL20403714M",10,"65",106,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Bureaucrats Under Stress","Administrators and Administration in an Indian State",null,null,null,null,null,null,null,"0520012542","9780520012547",null,null,null,null,null,null,null,null,null,"/books/OL43355550M",150,"66",178,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Werner Elerts apologetisches Frühwerk",null,null,"xiv, 376 p. ;",null,null,null,null,null,"3110194457","9783110194456",null,"2008384501",null,null,"German",null,null,null,"8734352","/books/OL24532038M",65,"67",190,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Unimpressed Girls",null,null,null,null,null,null,null,"0.341",null,"9781389428722",null,null,null,null,"English",null,null,null,null,"/books/OL51872846M",30,"68",205,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Corso d'italiano",null,null,null,null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL20217500M",10,"69",59,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Animal Biology and Care",null,null,null,null,null,null,null,null,"111827606X","9781118276068",null,"2014000060",null,null,null,null,null,null,"9013251","/books/OL27557843M",165,"70",60,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Santa Rogelia","(de la leyenda de oro)",null,"295 p. ;",null,null,null,null,null,null,null,null,null,null,null,"Spanish",null,null,null,null,"/books/OL16396831M",10,"71",222,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"La Comunidad andina",null,null,"x, 290 p. :",null,null,null,null,null,null,null,null,"82193690",null,null,"Spanish",null,null,null,null,"/books/OL3090989M",10,"72",26,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The tower.",null,null,"233p.,19cm",null,null,null,null,null,"0713802022",null,null,null,null,null,"English",null,null,null,null,"/books/OL21671576M",30,"73",129,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Studien zur Geschichte des Bistums Chur (451-2001)",null,null,"176 p. :",null,null,null,null,null,"3727813660",null,null,null,null,null,"German",null,null,null,null,"/books/OL22605825M",30,"74",90,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Surprise","embrace the unpredictable and engineer the unexpected","'Surprise: Embrace the Unpredictable and Engineer the Unexpected is a fascinating look at how we can handle and harness surprise in our work, relationships, and everyday lives.  Pop Quiz!     Do you prefer when:  A) Things go according to plan?  B) When the unexpected happens?     Most of us pick control and predictability. Yet research reveals a counterintuitive truth: surprise is the key that unlocks growth, innovation, and connection. It is also the secret ingredient in our best memories.  Through colorful narratives and compelling scientific findings, authors Tania Luna and Dr. LeeAnn Renninger shine a light on the world's least understood and most intriguing emotion. They reveal how shifting our perception of surprise lets us thrive in the face of uncertainty. And they show us how surprise acts as a shortcut that turns a typical product into a meaningful experience, a good idea into a viral one, awkward small talk into engaging conversation, and daily life into an adventure. '--","xxiii, 246 pages",null,null,null,null,null,"0399169822","9780399169823",null,"2014043668",null,null,"English",null,null,null,"12488864","/books/OL27179180M",80,null,16,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Fiscal Decentralization in Asia","Challenges and Opportunities",null,null,null,null,null,null,null,null,"9789290923053",null,null,null,null,"English",null,null,null,null,"/books/OL33536103M",130,"75",134,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"GUIDE de SURVIE Dans un MONDE de FOUS","Un Art de Vivre Personnel",null,"161",null,null,null,null,"0.300",null,"9798683067120",null,null,null,null,"French",null,null,null,null,"/books/OL48299631M",130,"4",32,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Materialy k konferent︠s︡ii 'I︠a︡zyk kak znakovai︠a︡ sistema osobogo roda.'",null,null,"95 pages",null,null,null,null,null,null,null,null,null,null,null,"Russian",null,null,null,null,"/books/OL52306074M",10,"76",9,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Science, technology and everyday life, 1870-1950",null,null,"391p. :",null,null,null,null,null,"0415000378",null,null,null,null,null,"English",null,null,null,null,"/books/OL21392644M",130,"77",28,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Science, technology and everyday life, 1870-1950",null,null,"391p. :",null,null,null,null,null,"0415035570",null,null,null,null,null,"English",null,null,null,null,"/books/OL21392644M",130,"77",28,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Erotic Performance and Spectatorship","New Frontiers in Erotic Dance",null,null,null,null,null,null,null,null,"9781138932364",null,"2016025055",null,null,"English",null,null,null,null,"/books/OL28837735M",130,"35",131,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Aciklamali edebiyat terimleri sozlugu (Egitime yardimci kitaplar)",null,null,null,null,null,null,null,null,"9754052913","9789754052916",null,null,null,null,"Turkish",null,null,null,null,"/books/OL9185218M",50,"78",185,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Animal Biology and Care",null,null,null,null,null,null,null,"1.5 pounds","0632050543","9780632050543",null,"99038885",null,null,"English",null,null,null,"1328767","/books/OL9873625M",165,"79",60,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"use of programmed instruction and educational technology in British industry, 1973",null,null,"32p.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL21533886M",110,"80",71,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Evaluation of alternative market organizations for Hawaii's beef industry","a study of the impact of size, location, and concentration",null,"ii, 41 p. ;",null,null,null,null,null,null,null,null,"84000587",null,null,"English",null,null,null,null,"/books/OL2838814M",110,"81",105,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Writings of George Washington From the Original Manuscript Sources 1745 to 1799 Volume 4 October, 1775 to April, 1776",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL49236905M",100,null,50,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Three squeaky dragons",null,null,null,null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL14540469M",110,"82",23,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Monster Men Illustrated",null,null,"209",null,null,null,null,"0.332",null,"9798477482504",null,null,null,null,"English",null,null,null,null,"/books/OL38443122M",130,"4",110,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Undulating la Roux",null,null,null,null,null,null,null,"0.227",null,"9781591523017",null,null,null,null,"English",null,null,null,"14785761","/books/OL38081112M",145,"83",27,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Akhira","El Pescador Del Mar Rojo",null,"128",null,null,null,null,"0.305",null,"9798593405531",null,null,null,null,"Spanish",null,null,null,null,"/books/OL42311629M",30,"4",112,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Classical electricity and magnetism",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL44779043M",110,"84",78,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Fawākih al-ʻadīdah fī al-masāʻil al-mufīdah",null,null,"448 p. :",null,null,null,null,null,null,null,null,null,null,null,"Arabic",null,null,null,null,"/books/OL22424358M",10,"85",69,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Von Pfeil und Bogen Zum »Digitalen Bogen«","Die Indigenen Brasiliens und das Internet",null,"256",null,null,null,null,null,null,"9783839410493",null,null,null,null,"German",null,null,null,null,"/books/OL35818240M",30,"86",37,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Ramón María Del Valle-Inclán - Sonata de Estío",null,null,"58",null,null,null,null,"0.136",null,"9781098879259",null,null,null,null,"Spanish",null,null,null,null,"/books/OL41166963M",130,"4",227,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Los muertos de Hebron",null,null,"16 p.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL47951473M",10,"87",76,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Engineering","a legal liability? : developments in the law of negligence affecting engineers.",null,null,null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL16755059M",10,"88",147,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Fawākih al-'adīdah fī al-masā'il al-mufīdah",null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Arabic",null,null,null,null,"/books/OL21046004M",10,"89",69,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Office 2000 (El Libro De)",null,null,null,null,null,null,null,null,"8441509174","9788441509177",null,null,null,null,"Spanish",null,null,null,null,"/books/OL13267249M",50,"90",29,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Caroline Watkins.",null,null,"5 p.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL16037729M",10,"87",157,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Commodity Futures Modernization ACT","Hearings Before the Subcommittee on General Farm Commodities and Risk Management of the Committee on Agriculture,",null,null,null,null,null,null,null,"0160705207","9780160705205",null,"2003373013",null,null,"English",null,null,null,null,"/books/OL10115675M",150,"91",141,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"La provincia perdida.","[Viñetas.",null,"168 p.",null,null,null,null,null,null,null,null,"61047461",null,null,"Spanish",null,null,null,null,"/books/OL5838972M",10,"65",106,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"al- Maʻārik al-ḥarbīyah ʻalá al-jabhah al-Miṣrīyah","Ḥarb Uktūbir 1973, al-ʻĀshir min Ramaḍān",null,"989 p. :",null,null,null,null,null,"9771471112",null,null,"89962057",null,null,"Arabic",null,null,null,null,"/books/OL1844077M",30,"92",123,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Patmutʻyun, gaghapʻarakhosutʻyun, tipabanutʻyun","eluytʻ 2007 tʻ. dektemberi 8-i hanrahavakʻum",null,"42 p. :",null,null,null,null,null,null,"9789994121076",null,"2009509702",null,null,null,null,null,null,null,"/books/OL23950767M",30,"93",4,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Dead Center",null,null,null,null,null,null,null,null,null,"9781682193334",null,null,null,null,"English",null,null,null,null,"/books/OL37580147M",30,"15",215,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Koreans in Japan"," Critical Voices from the Margin",null,null,null,null,null,null,null,"0415379393","9780415379397",null,null,null,null,"English",null,null,null,"1219449","/books/OL7493679M",165,"36",65,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Cricket Flours Cookbook",null,null,null,null,null,null,null,null,null,"9781533386816",null,null,null,null,null,null,null,null,"14603092","/books/OL51212832M",145,"94",125,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"L' imprescriptibilité des crimes de guerre et contre l'humanité","étude de droit international et de droit pénal comparé",null,"230 p. ;",null,null,null,null,null,"2800404299",null,null,"75507097",null,null,"French",null,null,null,"2171282","/books/OL4786305M",145,"95",217,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Sierra Sam's double",null,null,"30 p.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL53738056M",10,"96",89,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
